Seconds Since Start,Sound Level (dBA)
1.707,95.9
1.92,77.9
2.133,76.4
2.347,87.6
2.56,78.1
2.773,92.4
2.987,78.5
3.2,77.4
3.413,84.7
3.627,78.0
3.84,76.8
4.053,94.5
4.267,79.9
4.48,75.9
4.693,87.6
4.906,77.9
5.12,75.6
5.333,82.5
5.547,78.1
5.76,77.5
5.973,81.6
6.186,78.1
6.4,75.9
6.613,92.9
6.826,78.1
7.04,75.9
7.253,82.7
7.466,77.9
7.68,76.2
7.893,79.6
8.106,76.8
8.32,80.4
8.533,79.8
8.746,76.4
8.96,86.6
9.173,77.8
9.386,76.0
9.6,88.1
9.813,77.7
10.026,74.8
10.24,81.9
10.453,78.2
10.666,77.0
10.88,88.7
11.093,78.0
11.306,75.7
11.52,85.5
11.733,77.6
11.946,75.9
12.16,81.3
12.373,77.5
12.586,89.0
12.8,78.2
13.013,76.7
13.226,90.2
13.44,78.8
13.653,76.3
13.866,80.0
14.08,77.2
14.293,74.6
14.506,83.4
14.72,77.4
14.933,76.2
15.146,84.5
15.36,77.4
15.573,75.4
15.786,95.8
16.0,76.7
16.213,77.1
16.426,83.5
16.64,77.1
16.853,91.6
17.066,77.5
17.28,77.4
17.493,76.3
17.706,79.5
17.92,75.8
18.133,84.2
18.346,77.5
18.56,75.7
18.773,84.4
18.986,77.1
19.2,75.1
19.413,95.5
19.626,77.5
19.84,77.1
20.053,80.6
20.266,77.6
20.48,74.8
20.693,94.7
20.906,77.4
21.12,74.9
21.333,80.8
21.546,76.5
21.76,86.2
